イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2,表,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,ストレート,,4,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,1,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,ストレート,,4,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,ストレート,,4,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,スライダー,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,2,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,2,2,1,-,-,-,藤川泰斗,福井工業大学,左,黒田佑月,北陸大学,左,ストレート,,8,真ん中,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2,表,0,0,2,-,-,-,藤川泰斗,福井工業大学,左,櫻井伯斗,北陸大学,右,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,2,-,-,-,藤川泰斗,福井工業大学,左,櫻井伯斗,北陸大学,右,ストレート,,12,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,1,2,-,-,-,藤川泰斗,福井工業大学,左,櫻井伯斗,北陸大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,2,1,2,-,-,-,藤川泰斗,福井工業大学,左,櫻井伯斗,北陸大学,右,ストレート,,8,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
2,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,山田 久敬,福井工業大学,左,ストレート,,12,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,0,-,-,-,與 賢史朗,北陸大学,右,山田 久敬,福井工業大学,左,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,0,0,-,-,-,與 賢史朗,北陸大学,右,山田 久敬,福井工業大学,左,ストレート,,9,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,1,0,-,-,-,與 賢史朗,北陸大学,右,山田 久敬,福井工業大学,左,ストレート,,4,真ん中,インプレー,1,1,1,1,1,,-,単打,ゴロ,左翼手,0,0,0,0,
2,裏,0,0,0,○,-,-,與 賢史朗,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,1,真ん中,インプレー,1,1,0,0,1,,-,犠打,ゴロ,投手,1,0,0,0,
2,裏,0,0,1,-,○,-,與 賢史朗,北陸大学,右,濱口 凌輔,福井工業大学,左,カーブ,,5,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,1,-,○,-,與 賢史朗,北陸大学,右,濱口 凌輔,福井工業大学,左,ストレート,,4,内角,インプレー,1,1,1,1,1,,-,単打,ゴロ,中堅手,0,0,0,0,
2,裏,0,0,1,○,-,○,與 賢史朗,北陸大学,右,伊藤 航太,福井工業大学,左,ストレート,,6,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,三塁手,1,0,0,0,
2,裏,0,0,2,○,-,○,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,2,○,-,○,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,0,2,○,-,○,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,3,0,2,○,-,○,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,6,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,3,1,2,○,-,○,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,14,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,1,1,0,
2,裏,0,0,2,○,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,スライダー,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
