イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
3,表,0,2,1,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,2,1,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,ストレート,,8,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,1,2,1,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,スライダー,,13,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
3,表,0,2,2,-,-,-,水谷光希,金沢学院大学,右,小倉隆貴,福井工業大学,左,チェンジアップ,,7,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
3,裏,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,北井 聖,金沢学院大学,右,ストレート,,5,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,0,1,0,-,-,-,藤川泰斗,福井工業大学,左,北井 聖,金沢学院大学,右,ストレート,,7,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,0,2,0,-,-,-,藤川泰斗,福井工業大学,左,北井 聖,金沢学院大学,右,ストレート,,2,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
3,裏,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,スライダー,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,0,1,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,スライダー,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,0,1,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,スライダー,,13,,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,
