イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
7,表,1,2,1,-,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,,,インプレー,1,1,1,1,1,,-,単打,ゴロ,投手,0,0,0,0,
7,表,0,0,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,ストレート,,,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
7,表,0,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,2,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
7,表,2,1,1,○,-,-,濵名壱晴,金沢大学,右,西川晃成,金沢星稜大学,右,ストレート,,1,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,左翼手,0,0,0,0,
7,表,0,0,1,○,-,○,濵名壱晴,金沢大学,右,津澤泰成,金沢星稜大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,0,1,1,○,-,○,濵名壱晴,金沢大学,右,津澤泰成,金沢星稜大学,左,ストレート,,2,,インプレー,1,1,1,1,1,,-,本塁打,フライ,,0,3,3,0,
7,表,0,0,1,-,-,-,濵名壱晴,金沢大学,右,前谷内琉斗,金沢星稜大学,左,,,,,インプレー,1,1,1,1,1,,-,単打,フライ,中堅手,0,0,0,0,
7,表,0,0,1,○,-,-,濵名壱晴,金沢大学,右,泉 航平,金沢星稜大学,左,,,,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,
7,表,2,0,2,○,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,4,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,2,1,2,○,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,フォーク,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,3,1,2,○,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,7,内角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,3,2,2,○,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,,,,内角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
7,表,3,2,2,○,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,9,,インプレー,1,1,1,1,1,,-,単打,ゴロ,一塁手,0,0,0,0,
7,表,0,0,2,○,-,○,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,1,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,1,2,○,-,○,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,2,○,-,○,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,12,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,1,2,2,○,-,○,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,スライダー,,7,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,1,2,2,○,-,○,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,9,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,3,
7,裏,0,0,0,-,-,-,蔵口 敦,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,9,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,
7,裏,0,0,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,裏,1,0,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,裏,1,1,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,スライダー,,1,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,裏,1,2,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,スライダー,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,裏,2,2,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,裏,3,2,1,-,-,-,蔵口 敦,金沢星稜大学,右,越野虎次郎,金沢大学,右,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
7,裏,0,0,2,-,-,-,蔵口 敦,金沢星稜大学,右,平澤秀太,金沢大学,右,スライダー,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
7,裏,0,1,2,-,-,-,蔵口 敦,金沢星稜大学,右,平澤秀太,金沢大学,右,ストレート,,2,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,裏,0,2,2,-,-,-,蔵口 敦,金沢星稜大学,右,平澤秀太,金沢大学,右,スライダー,,12,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
