イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ,作戦1,作戦2,作戦3
2,表,0,0,1,-,-,○,伴,金沢工業大学,右,矢口敬大,富山大学,右,ストレート,,4,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,0,1,1,-,-,○,伴,金沢工業大学,右,矢口敬大,富山大学,右,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,1,1,1,-,-,○,伴,金沢工業大学,右,矢口敬大,富山大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,2,1,1,-,-,○,伴,金沢工業大学,右,矢口敬大,富山大学,右,カーブ,,11,,死球,1,1,0,0,0,,-,,,,0,0,0,0,,,,
2,表,0,0,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,1,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,スクイズ,,
2,表,0,1,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,1,1,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,1,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,チェンジアップ,,7,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,1,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,2,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,7,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,2,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,2,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,チェンジアップ,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,3,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,5,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,表,3,2,1,○,-,○,伴,金沢工業大学,右,宇治野慶翔,富山大学,左,ストレート,,7,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,,,,
2,表,0,0,2,○,-,○,伴,金沢工業大学,右,松原一汰,富山大学,右,ストレート,,3,,インプレー,1,1,1,0,1,,-,アウト,フライ,一塁手,1,0,0,0,,,,
2,裏,0,0,0,-,-,-,山口蒼介,富山大学,右,樋口,金沢工業大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,1,0,0,-,-,-,山口蒼介,富山大学,右,樋口,金沢工業大学,右,,,,,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,,,,
2,裏,0,0,1,-,-,-,山口蒼介,富山大学,右,藤田 泰己,金沢工業大学,右,ストレート,,4,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,0,1,1,-,-,-,山口蒼介,富山大学,右,藤田 泰己,金沢工業大学,右,ストレート,,6,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
