Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,4,裏,0,0,0,○,-,-,野﨑勇一郎,金沢星稜大学,右,今岡歩夢,金沢学院大学,左,,,,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,0,0,○,-,-,野﨑勇一郎,金沢星稜大学,右,今岡歩夢,金沢学院大学,左,ストレート,,7,外角,インプレー,1,1,0,0,1,,-,犠打,ゴロ,捕手,1,0,0,0,
2025/10/4,4,裏,0,0,1,-,○,-,野﨑勇一郎,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,8,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,0,1,1,-,○,-,野﨑勇一郎,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,7,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,2N
2025/10/4,4,裏,0,0,2,○,-,-,野﨑勇一郎,金沢星稜大学,右,北井 聖,金沢学院大学,右,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,4,裏,0,1,2,○,-,-,野﨑勇一郎,金沢星稜大学,右,北井 聖,金沢学院大学,右,ストレート,,1,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,0,2,2,-,○,-,野﨑勇一郎,金沢星稜大学,右,北井 聖,金沢学院大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,2,2,-,○,-,野﨑勇一郎,金沢星稜大学,右,北井 聖,金沢学院大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,2,2,2,-,○,-,野﨑勇一郎,金沢星稜大学,右,北井 聖,金沢学院大学,右,ストレート,,11,内角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/4,5,表,0,0,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,カーブ,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,0,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,カットボール,,14,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,1,1,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,11,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,3,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,0,-,-,-,大槇優斗,金沢学院大学,右,東元龍成,金沢星稜大学,右,スライダー,,9,外角,インプレー,1,1,1,1,1,,-,単打,フライ,中堅手,0,0,0,0,L4
2025/10/4,5,表,0,0,0,○,-,-,大槇優斗,金沢学院大学,右,西川晃成,金沢星稜大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,0,0,○,-,-,大槇優斗,金沢学院大学,右,西川晃成,金沢星稜大学,右,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,0,0,○,-,-,大槇優斗,金沢学院大学,右,西川晃成,金沢星稜大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,2,0,0,○,-,-,大槇優斗,金沢学院大学,右,西川晃成,金沢星稜大学,右,ストレート,,3,外角,インプレー,1,1,0,0,1,,-,犠打,ゴロ,投手,1,0,0,0,
2025/10/4,5,表,0,0,1,-,○,-,大槇優斗,金沢学院大学,右,中野心惇,金沢星稜大学,右,カットボール,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,1,-,○,-,大槇優斗,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,2,1,-,○,-,大槇優斗,金沢学院大学,右,中野心惇,金沢星稜大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,1,-,○,-,大槇優斗,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,3,,インプレー,1,1,1,1,1,,-,二塁打,フライ,左翼手,0,1,1,0,H7
2025/10/4,5,表,0,0,1,-,○,-,大槇優斗,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,0,1,-,○,-,大槇優斗,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,カットボール,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
