Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/10,3,表,0,2,1,-,○,-,向嶋 大輔,福井工業大学,右,新田恭也,金沢学院大学,左,ストレート,,7,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,3,表,0,2,1,-,○,-,向嶋 大輔,福井工業大学,右,新田恭也,金沢学院大学,左,ストレート,,7,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
2025/10/10,3,表,0,0,2,-,-,○,向嶋 大輔,福井工業大学,右,角尾頼尊,金沢学院大学,右,カーブ,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,表,1,0,2,-,-,○,向嶋 大輔,福井工業大学,右,角尾頼尊,金沢学院大学,右,ストレート,,6,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,3,表,1,1,2,-,-,○,向嶋 大輔,福井工業大学,右,角尾頼尊,金沢学院大学,右,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,表,1,2,2,-,-,○,向嶋 大輔,福井工業大学,右,角尾頼尊,金沢学院大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,表,2,2,2,-,-,○,向嶋 大輔,福井工業大学,右,角尾頼尊,金沢学院大学,右,フォーク,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/10,3,裏,0,0,0,-,-,-,大槇 優斗,金沢学院大学,右,高松 紳志,福井工業大学,左,カーブ,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,裏,0,1,0,-,-,-,大槇 優斗,金沢学院大学,右,高松 紳志,福井工業大学,左,ストレート,,2,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
2025/10/10,3,裏,0,0,1,-,-,-,大槇 優斗,金沢学院大学,右,細川叶人,福井工業大学,右,カーブ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,裏,0,1,1,-,-,-,大槇 優斗,金沢学院大学,右,細川叶人,福井工業大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,3,裏,1,1,1,-,-,-,大槇 優斗,金沢学院大学,右,細川叶人,福井工業大学,右,チェンジアップ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
