イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,裏,0,1,0,○,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,2,真ん中,ボール,1,0,0,0,0,,-,,,,1,0,0,0,
1,裏,1,1,1,○,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,1,1,-,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,1,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,2,2,1,-,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,スライダー,,4,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,2,2,1,-,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,スライダー,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,2,1,-,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,7,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,3,2,1,-,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,14,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
1,裏,0,0,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,11,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,1,1,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,フォーク,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,1,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,1,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,8,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,3,2,1,○,-,-,水谷光希,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,3,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,一塁手,1,0,0,0,Y2
1,裏,0,0,2,○,-,-,水谷光希,金沢学院大学,右,山本翔士,金沢星稜大学,左,スライダー,,6,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,0,1,2,○,-,-,水谷光希,金沢学院大学,右,山本翔士,金沢星稜大学,左,ストレート,,4,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,2,2,○,-,-,水谷光希,金沢学院大学,右,山本翔士,金沢星稜大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,2,○,-,-,水谷光希,金沢学院大学,右,山本翔士,金沢星稜大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,2,2,○,-,-,水谷光希,金沢学院大学,右,山本翔士,金沢星稜大学,左,フォーク,,8,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,C4
2,表,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,角尾頼尊,金沢学院大学,右,スライダー,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,0,-,-,-,玉村凌大,金沢星稜大学,右,角尾頼尊,金沢学院大学,右,スライダー,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,1,0,-,-,-,玉村凌大,金沢星稜大学,右,角尾頼尊,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,2,1,0,-,-,-,玉村凌大,金沢星稜大学,右,角尾頼尊,金沢学院大学,右,スライダー,,6,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,M6
